,stressor,Gene_set_Term,Genes
435,BFA,Reactome_2022_Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152,CCNK;CCNT1;NCBP1;CCNH;NCBP2;SUPT4H1;GTF2H1;SSRP1;GTF2F1;SUPT5H;GTF2F2;CDK9;CDK7;POLR2B;POLR2C;TCEA1;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;NELFE
436,BFA,Reactome_2022_PERK Regulates Gene Expression R-HSA-381042,CEBPB;HSPA5;DIS3;CEBPG;PARN;EIF2AK3;EIF2S2;EIF2S1;HERPUD1;EXOSC5;EIF2S3;KHSRP;DDIT3;EXOSC8;ATF6;EXOSC1;ATF3;ATF4
437,BFA,Reactome_2022_Calnexin/calreticulin Cycle R-HSA-901042,EDEM3;EDEM1;SEL1L;SYVN1;DERL2;RNF5;GANAB;OS9;UBB;UBC;CANX;CALR;RPS27A;UGGT2;UGGT1;UBA52
438,BFA,Reactome_2022_FGFR2 Alternative Splicing R-HSA-6803529,NCBP1;NCBP2;GTF2F1;GTF2F2;TIAL1;PTBP1;HNRNPM;POLR2B;POLR2C;ESRP1;HNRNPF;POLR2H;HNRNPA1;POLR2I;POLR2J;POLR2K
439,BFA,Reactome_2022_Dual Incision In TC-NER R-HSA-6782135,CCNH;PRPF19;POLD3;UBB;POLR2B;POLR2C;UBC;POLR2H;POLR2I;RPS27A;POLR2J;POLR2K;AQR;RFC4;RFC2;GTF2H1;DDB1;XAB2;CDK7;POLR1B;RPA3;POLE3;PPIE;TCEA1;ERCC5;ZNF830;UBA52
440,BFA,Reactome_2022_Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,CCNT1;NCBP1;CCNH;NCBP2;SUPT4H1;GTF2H1;SSRP1;GTF2F1;SUPT5H;GTF2F2;CDK9;CDK7;POLR2B;POLR2C;TCEA1;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;NELFE
441,BFA,Reactome_2022_Organelle Biogenesis And Maintenance R-HSA-1852241,CEP57;ARF4;CRTC2;CETN2;PRKAG1;CCP110;MICOS10;HSPB11;IFT52;PCM1;CHCHD3;CNTRL;KIFAP3;BBS4;RAB8A;CDK5RAP2;DYNC2H1;IQCB1;PRKAB2;MKKS;TUBB;IFT80;TFB2M;RPGRIP1L;PPRC1;PRKAB1;DYNLL2;LZTFL1;HCFC1;IFT88;IFT43;TMEM216;AKAP9;TCP1;CEP63;EXOC5;PPARA;DYNC1I2;DCTN2;SSNA1;DCTN3;DYNC2LI1;ATP5F1A;SAMM50;TMEM67;CEP70;CEP192;CCT8;CEP76;CCT4;ATP5ME;ESRRA;HSPA9;DYNC1H1;MBD4;MTX1;PTGES2;ODF2;WDR19;IMMT;ATP5F1D;IFT20;AHI1;IFT22;TMEM11;CENPJ;ALMS1;CEP83;TRIP11;CYCS;IFT27;SSBP1
442,BFA,Reactome_2022_TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,CCNK;CCNT1;CCNH;SUPT4H1;POLR2B;POLR2C;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;NELFE;JUN;GTF2H1;SSRP1;GTF2F1;MLH1;SUPT5H;GTF2F2;CDK9;CDK7;TCEA1;ATM;CDK12;CDK13;TP53
443,BFA,Reactome_2022_Transcriptional Regulation By RUNX2 R-HSA-8878166,RB1;PSMD12;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PSMD5;PSMD2;PSMD3;UBC;PSMB1;RPS27A;ESRRA;SMAD4;YES1;PSMB8;SEM1;PSMA5;PSMA3;PSMC3;CDK4;PSMA2;PSMC4;PSMC1;PSME4;PSMC2;PSME1;BAX;UBA52
444,BFA,Reactome_2022_Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,CCNH;PRPF19;POLD3;UBB;POLR2B;POLR2C;UBC;POLR2H;POLR2I;RPS27A;POLR2J;POLR2K;AQR;RFC4;RFC2;GTF2H1;DDB1;XAB2;CDK7;POLR1B;RPA3;POLE3;PPIE;TCEA1;ZNF830;UBA52
445,BFA,Reactome_2022_Generic Transcription Pathway R-HSA-212436,RB1;CCNK;SMARCB1;CCNH;RBPJ;PSMD8;PSMD9;PSMD6;PSMD7;CDC23;PSMD4;TRIM28;PSMD5;PSMD2;ZNF605;PSMD3;CDC27;PRKAB2;CSNK2A2;MED8;ZNF10;ZNF12;MED4;PRKAB1;COX7A2L;RRAGA;DDIT3;PSME4;CSNK2B;PSME1;TP53;UBA52;ZNF398;ZNF274;L3MBTL2;ANAPC15;ANAPC16;SUPT4H1;ANAPC11;PRDX2;PRDX5;ZNF706;PRDX1;NRBF2;JUN;ZNF263;SURF1;PRELID1;YES1;ZNF140;GADD45A;NR2F6;SNW1;AGO3;CDC16;RAD17;ATM;CDK12;CDK13;COX7B;BTG1;CDKN1B;PRKAG1;MED17;PIP4P1;MED10;ELOC;NELFE;COX8A;BRD2;PRMT5;PBRM1;RING1;PRMT1;ACTL6A;TCF12;TOP3A;PSMA5;PSMA3;PSMA2;PPARA;ELOF1;RNMT;GPS2;ZNF3;COX5B;PSMA7;RELA;PSMB6;RXRB;PPP2CA;PSMB7;PSMB4;WRN;PSMB5;PSMB2;PSMB1;ZNF226;RPS27A;ZNF587;ZNF222;ZNF584;MBD4;NPM1;USP9X;NR1H2;GTF2H1;HIPK1;MLH1;PSMB8;LRPPRC;GATAD2A;ZNF33B;ZNF33A;TJP1;ITCH;PSMC3;PSMC4;CENPJ;PSMC1;RPA3;PSMC2;CCNG1;TCEA1;LAMTOR2;LAMTOR1;LAMTOR3;LAMTOR5;ZNF331;CCNT1;UBE2D3;RORC;COX6A1;TXN2;YY1;STK11;CCND3;SESN2;ZNF568;MEN1;BNIP3L;ZNF561;TSC2;GTF2F1;GTF2F2;NRBP1;ANAPC5;COX19;ZNF550;PSMD12;ZNF791;KMT2A;MAX;PSMD13;KMT2C;FOXO3;ATXN3;UBB;MED31;ZKSCAN8;UBC;COX14;ZNF302;ZNF664;ESRRA;SMAD4;UBE2I;CBX4;BRPF3;CBX3;TNFRSF10B;CNOT10;SUPT5H;CDK9;SEM1;CDK7;CDK5;CDK4;CNOT1;CNOT2;JMY;CYCS;MDM4;ZNF770;COX4I1;DPY30;YBX1;ZNF529;TOPBP1;RFC4;PDPK1;RFC2;RABGGTB;REXO2;YWHAZ;ZNF75A;RRM2B;POLR1B;ZNF510;CEBPB;TAF9;CXXC1;PSMB10;HSPD1;FZR1;POLR2B;POLR2C;E2F4;POLR2H;ZNF621;MTA2;POLR2I;POLR2J;POLR2K;TAF12;ZNF184;TAF13;MGA;TAF10;TXNRD1;SSRP1;DEK;MTOR;RAD50;TAF7;BAX;TAF5;PTPN4
446,BFA,Reactome_2022_HIV Transcription Initiation R-HSA-167161,GTF2A1;GTF2A2;TAF12;CCNH;TAF13;GTF2B;TAF10;TAF9;GTF2H1;GTF2F1;GTF2F2;GTF2E2;CDK7;POLR2B;POLR2C;TAF7;POLR2H;TAF5;POLR2I;POLR2J;POLR2K
447,BFA,Reactome_2022_HIV Elongation Arrest And Recovery R-HSA-167287,CCNK;CCNT1;SUPT4H1;SSRP1;GTF2F1;SUPT5H;GTF2F2;CDK9;POLR2B;POLR2C;TCEA1;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;NELFE
448,BFA,Reactome_2022_Mitotic Prometaphase R-HSA-68877,CEP57;AHCTF1;CETN2;CCP110;SMC3;SMC4;PCM1;PPP2R5E;CNTRL;CDK5RAP2;NDEL1;NUDC;SEC13;TUBB;CSNK2A2;PPP2R5B;RANGAP1;SMC1A;DYNLL2;RAB33B;MZT2B;DYNC1LI2;NME7;ZW10;AKAP9;CSNK2B;NUP98;CEP63;DYNC1I2;DCTN2;TUBGCP2;SSNA1;DCTN3;MIS12;PPP2CA;DSN1;CEP70;CEP192;BUB3;CEP76;RANBP2;DYNC1H1;ODF2;WAPL;MZT1;RPS27;CENPJ;TAOK1;ALMS1;TUBGCP6;CENPN;MAD2L1
449,BFA,Reactome_2022_ER Quality Control Compartment (ERQC) R-HSA-901032,EDEM3;EDEM1;SEL1L;SYVN1;DERL2;RNF5;OS9;UBB;UBC;RPS27A;UGGT2;UBA52;UGGT1
450,BFA,Reactome_2022_Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,TAF9;PRKAG1;STK11;WRN;UBB;UBC;TOPBP1;RPS27A;PRKAB2;RFC4;TAF12;RFC2;TAF13;TAF10;CSNK2A2;TOP3A;SSRP1;HIPK1;PRKAB1;RAD50;CDK5;POLR1B;RPA3;CSNK2B;RAD17;TAF7;ATM;MDM4;TAF5;TP53;UBA52
451,BFA,Reactome_2022_Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,CCNT1;SUPT4H1;SSRP1;GTF2F1;SUPT5H;GTF2F2;CDK9;POLR2B;POLR2C;TCEA1;ELOC;POLR2H;POLR2I;POLR2J;POLR2K;NELFE
452,BFA,Reactome_2022_Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,INO80E;CCNH;CETN2;XPC;YY1;POLD3;UBB;UBC;RPS27A;PIAS3;RFC4;UBE2I;RFC2;ACTL6A;GTF2H1;INO80;RAD23B;DDB1;COPS4;COPS3;CDK7;COPS5;POLR1B;COPS2;RPA3;POLE3;UBE2V2;ERCC5;UBA52
453,BFA,Reactome_2022_COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,ARF4;COPB2;RAB1A;COPA;NBAS;KDELR1;COPB1;UBE2Z;NAPG;KLC4;RACGAP1;KIF5B;TMED2;KIFAP3;TMED9;PTGES2;COPZ2;ARFGAP3;ARFGAP1;ARCN1;RINT1;KIF9;ZW10;KDELR2;KDELR3;COPG1;SEC22B;COPE
454,BFA,Reactome_2022_Intracellular Signaling By Second Messengers R-HSA-9006925,GSK3A;CDKN1B;IRS2;PSMD8;PSMD9;PSMD6;PSMD7;PSMD4;PSMD5;PPP2R5E;PSMD2;PSMD3;TRIM27;MAF1;PRKACB;RING1;CHUK;PDPK1;CSNK2A2;PPP2R5B;TSC2;PSMA5;RRAGA;PSMA3;PSMA2;CSNK2B;PSME4;AKT1S1;PSME1;TRIB3;SOS1;TP53;UBA52;PSMD12;RNMT;PSMD13;TNKS;XIAP;FOXO3;PSMA7;PSMB10;PPP2CA;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;UBB;TNKS2;PRKAR2A;PSMB1;UBC;RPS27A;MTA2;JUN;CBX4;BAD;PSMB8;MTOR;GATAD2A;SEM1;REST;AGO3;PSMC3;PSMC4;PSMC1;PSMC2;MKRN1;RPS6KB2;LAMTOR2;LAMTOR1;LAMTOR3;LAMTOR5;OTUD3
455,BFA,Reactome_2022_Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523,PRNP;CAMLG;SGTA;UBE2J2;BAG6;SERP1;SEC61G;STX5;GET1;SEC61B;GET3;EMD;VAMP2
456,BFA,Reactome_2022_mRNA Capping R-HSA-72086,NCBP1;CCNH;RNMT;NCBP2;GTF2H1;GTF2F1;SUPT5H;GTF2F2;CDK7;POLR2B;POLR2C;POLR2H;POLR2I;POLR2J;POLR2K
457,BFA,Reactome_2022_Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242,NCBP1;NCBP2;SUPT4H1;GTF2F1;SUPT5H;GTF2F2;POLR2B;POLR2C;POLR2H;POLR2I;POLR2J;POLR2K;NELFE
458,BFA,Reactome_2022_Formation Of Early Elongation Complex R-HSA-113418,NCBP1;CCNH;NCBP2;SUPT4H1;GTF2H1;GTF2F1;SUPT5H;GTF2F2;CDK7;POLR2B;POLR2C;POLR2H;POLR2I;POLR2J;POLR2K;NELFE
459,BFA,Reactome_2022_Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,SCOC;SYS1;TMF1;COG6;STX16;COG5;COG3;M6PR;COG1;GCC2;GCC1;NAPG;GOLGA4;VPS53;GOLGA1;ARFIP2;NAA35;RAB9A;RAB6A;VAMP4
460,BFA,Reactome_2022_Cilium Assembly R-HSA-5617833,CEP57;ARF4;CETN2;CCP110;HSPB11;IFT52;PCM1;CNTRL;KIFAP3;BBS4;RAB8A;CDK5RAP2;DYNC2H1;IQCB1;MKKS;TUBB;IFT80;RPGRIP1L;DYNLL2;LZTFL1;IFT88;IFT43;TMEM216;AKAP9;TCP1;CEP63;EXOC5;DYNC1I2;DCTN2;SSNA1;DCTN3;DYNC2LI1;TMEM67;CEP70;CEP192;CCT8;CEP76;CCT4;DYNC1H1;ODF2;PTGES2;WDR19;IFT20;AHI1;IFT22;CENPJ;ALMS1;CEP83;IFT27;TRIP11
461,BFA,Reactome_2022_E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,SHPRH;VCP;UBE2B;UBE2D2;UBE2D3;CTR9;DERL1;BCL10;UBE2J2;PEX13;CDC73;RNF40;RRAGA;SELENOS;UBB;UBC;UBE2V2;WAC;PAF1;RNF181;RPS27A;UBA52
462,BFA,Reactome_2022_Beta-catenin Independent WNT Signaling R-HSA-3858494,PSMD12;PSMD13;CLTC;CLTA;AP2A1;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PSMD5;PSMD2;PSMD3;UBC;PSMB1;DVL3;RPS27A;MAP3K7;AP2B1;PSMB8;SEM1;PSMA5;PSMA3;AGO3;PSMC3;PSMA2;PSMC4;PSMC1;PSME4;PSMC2;PSME1;PFN1;UBA52
463,BFA,Reactome_2022_Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,UBE2B;USP5;UBA6;USP9X;UBE2D2;UBE2G2;UBE2Z;UCHL3;CDC34;UBB;UBE2Q2;UBC;OTULIN;RPS27A;UBA52
464,BFA,Reactome_2022_Josephin Domain DUBs R-HSA-5689877,ATXN3;VCP;UBB;UBC;JOSD2;JOSD1;RPS27A;RAD23B;UBA52
465,BFA,Reactome_2022_trans-Golgi Network Vesicle Budding R-HSA-199992,TFRC;CLTC;CLTA;CLINT1;BLOC1S6;SNX2;AP1G1;FTH1;STX4;SNX5;AP1M1;TXNDC5;PTGES2;M6PR;AP3B1;AP4B1;GAK;VAMP8;NECAP1;HGS;GOLGB1;YIPF6;ACBD3;VAMP2;FTL
466,BFA,Reactome_2022_Golgi Associated Vesicle Biogenesis R-HSA-432722,TFRC;CLTC;CLTA;AP3B1;CLINT1;AP4B1;GAK;VAMP8;BLOC1S6;SNX2;NECAP1;AP1G1;FTH1;GOLGB1;YIPF6;ACBD3;VAMP2;SNX5;FTL;AP1M1;TXNDC5
467,BFA,Reactome_2022_Cellular Response To Heat Stress R-HSA-3371556,VCP;HSP90AB1;RPS19BP1;MRPL18;AAAS;HSPA13;DEDD2;BAG5;HSPH1;UBB;TPR;HSF1;NUP88;NUP214;HSPA9;RANBP2;SEC13;HSPA5;HSPA4;ST13;MTOR;EEF1A1;DNAJC2;DNAJC7;POLR1B;RPA3;AKT1S1;ATM;NUP98;NUP58;HSPA1B
468,BFA,Reactome_2022_TCF Dependent Signaling In Response To WNT R-HSA-201681,USP34;CBY1;CDC73;PSMD8;PSMD9;PSMD6;FRAT2;PSMD7;PSMD4;PSMD5;PPP2R5E;PSMD2;PSMD3;MEN1;USP8;CSNK2A2;PPP2R5B;YWHAZ;PSMA5;PSMA3;PSMA2;CSNK2B;PSME4;PSME1;UBA52;CSNK1G2;PSMD12;PSMD13;TNKS;XIAP;PSMA7;PSMB10;PPP2CA;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;UBB;TNKS2;PSMB1;UBC;DVL3;RPS27A;CSNK1A1;PSMB8;SEM1;PSMC3;PSMC4;PSMC1;PSMC2
469,BFA,Reactome_2022_Viral Messenger RNA Synthesis R-HSA-168325,NUP214;RANBP2;PBRM1;SEC13;AAAS;GTF2F1;GTF2F2;GNL3;BLOC1S6;POLR2B;POLR2C;TPR;NUP88;POLR2H;NUP98;POLR2I;POLR2J;POLR2K;NUP58
470,BFA,Reactome_2022_Transcriptional Regulation By RUNX1 R-HSA-8878171,SMARCB1;CCNH;DPY30;PSMD8;PSMD9;PSMD6;CCND3;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PBRM1;RING1;PRMT1;CSNK2A2;ACTL6A;TCF12;PSMA5;PSMA3;PSMA2;CSNK2B;PSME4;PSME1;UBA52;PSMD12;ELOF1;KMT2A;PSMD13;KMT2C;PSMA7;PSMB10;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;UBB;PSMB1;UBC;RPS27A;CBX4;PSMB8;TJP1;SEM1;ITCH;CDK7;AGO3;PSMC3;PSMC4;PSMC1;PSMC2
471,BFA,Reactome_2022_Suppression Of Phagosomal Maturation R-HSA-9637687,UBB;HGS;UBC;ATP6V1H;RPS27A;RAB5A;UBA52;KPNB1;RAB7A
472,BFA,Reactome_2022_Response Of Mtb To Phagocytosis R-HSA-9637690,GSK3A;UBB;HGS;UBC;PGK1;ATP6V1H;TRIM27;RPS27A;RAB5A;UBA52;KPNB1;RAB7A
473,BFA,Reactome_2022_tRNA Processing R-HSA-72306,TRMU;POP7;DDX1;RTCB;AAAS;MTO1;LAGE3;OSGEP;TRMT112;TPR;NUP88;RPP38;RTRAF;NUP214;PUS3;RANBP2;SEC13;TRMT10C;PUS1;TYW3;NSUN2;NSUN6;FTSJ1;QTRT1;CTU2;XPOT;TRMT6;TRMT13;NUP98;TRMT61A;NUP58;RAN
474,BFA,Reactome_2022_Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,CEP57;DYNC1I2;DCTN2;CETN2;SSNA1;DCTN3;CCP110;PPP1CB;PCM1;UBB;CNTRL;CEP70;UBC;CEP192;RPS27A;CEP76;RAB8A;CDK5RAP2;DYNC1H1;FBXW11;ODF2;TUBB;CENPJ;AKAP9;ALMS1;CEP63;UBA52;OPTN
475,BFA,Reactome_2022_APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC15;ANAPC16;ANAPC11;CDC23;UBB;CDC27;UBC;CDC16;ANAPC5;BUB3;RPS27A;UBA52;MAD2L1
476,BFA,Reactome_2022_DNA Damage Recognition In GG-NER R-HSA-5696394,INO80E;CETN2;ACTL6A;XPC;INO80;RAD23B;YY1;COPS4;DDB1;COPS3;COPS5;UBB;COPS2;UBC;RPS27A;UBA52
477,BFA,Reactome_2022_MTOR Signaling R-HSA-165159,PRKAB2;RPS6;PRKAG1;TSC2;PRKAB1;MTOR;FKBP1A;STK11;RRAGA;AKT1S1;EIF4EBP1;LAMTOR2;LAMTOR1;LAMTOR3;EIF4B;EIF4G1;LAMTOR5
478,BFA,Reactome_2022_Pexophagy R-HSA-9664873,MAP1LC3B;UBB;NBR1;UBC;ATM;RPS27A;SQSTM1;UBA52
479,BFA,Reactome_2022_Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314,WDR48;RFC4;UBE2B;RFC2;POLD3;DDB1;UBB;POLR1B;RPA3;UBC;POLE3;USP1;RPS27A;UBA52
480,BFA,Reactome_2022_Formation Of Incision Complex In GG-NER R-HSA-5696395,PIAS3;UBE2I;CCNH;CETN2;XPC;GTF2H1;RAD23B;DDB1;CDK7;UBB;POLR1B;RPA3;UBC;UBE2V2;ERCC5;RPS27A;UBA52
481,BFA,Reactome_2022_ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,CEBPB;DIS3;CEBPG;PARN;HERPUD1;EXOSC5;KHSRP;DDIT3;EXOSC8;ATF6;EXOSC1;ATF3;ATF4
482,BFA,Reactome_2022_RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075,CCNH;RNMT;GTF2H1;GTF2F1;SUPT5H;GTF2F2;CDK7;POLR2B;POLR2C;POLR2H;POLR2I;POLR2J;POLR2K
483,BFA,Reactome_2022_SUMOylation R-HSA-2990846,TOP2B;DNMT1;ZNF131;L3MBTL2;UHRF2;CETN2;SMC5;XPC;SMC3;AAAS;RELA;WRN;SENP5;TRIM28;TPR;NUP88;TRIM27;TP53BP1;NUP214;RANBP2;PIAS3;SEC13;NOP58;NPM1;UBE2I;CBX4;RING1;NSMCE3;MBD1;NR1H2;NSMCE1;RANGAP1;SAFB;SENP2;SMC1A;NFKB2;RNF168;UBA2;NUP98;HNRNPC;TOP1;SAE1;PPARA;TP53;NUP58
484,BFA,Reactome_2022_Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,XRCC6;CRCP;CHUK;DHX9;XRCC5;RELA;NFKB2;POLR3A;UBB;NKIRAS2;POLR3D;UBC;POLR3E;POLR1D;RIPK1;POLR3H;LRRFIP1;POLR2H;RPS27A;UBA52;POLR2K;TRIM56
485,BFA,Reactome_2022_Centrosome Maturation R-HSA-380287,CEP57;DYNC1I2;DCTN2;TUBGCP2;CETN2;SSNA1;DCTN3;CCP110;PCM1;CNTRL;CEP70;CEP192;CEP76;CDK5RAP2;DYNC1H1;ODF2;TUBB;CDK11B;MZT1;MZT2B;NME7;CENPJ;AKAP9;ALMS1;TUBGCP6;CEP63
486,BFA,Reactome_2022_Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,RPS19BP1;MRPL18;AAAS;HSPA13;DEDD2;BAG5;HSPH1;UBB;HSF1;TPR;NUP88;NUP214;HSPA9;RANBP2;SEC13;HSPA5;HSPA4;ST13;DNAJC2;DNAJC7;POLR1B;RPA3;ATM;NUP98;NUP58;HSPA1B
487,BFA,Reactome_2022_mTORC1-mediated Signaling R-HSA-166208,FKBP1A;RRAGA;RPS6;AKT1S1;EIF4EBP1;LAMTOR2;LAMTOR1;LAMTOR3;MTOR;EIF4B;EIF4G1;LAMTOR5
488,BFA,Reactome_2022_Prevention Of Phagosomal-Lysosomal Fusion R-HSA-9636383,UBB;HGS;UBC;RPS27A;RAB5A;UBA52;RAB7A
489,BFA,Reactome_2022_Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440,OTUD5;UBE2D2;UBE2D3;ATG12;CYLD;ITCH;TRIM4;UBB;PCBP2;UBC;TAX1BP1;TRIM25;RPS27A;UBA52;ATG5
490,BFA,Reactome_2022_Regulation Of TNFR1 Signaling R-HSA-5357905,CHUK;SPPL2B;XIAP;CYLD;SHARPIN;UBB;UBC;OTULIN;RACK1;TAX1BP1;RIPK1;RBCK1;RPS27A;UBA52;BIRC2
491,BFA,Reactome_2022_Negative Regulation Of MET Activity R-HSA-6807004,USP8;UBB;RNMT;HGS;UBC;STAM;RPS27A;SOS1;STAM2;UBA52;PTPN2
492,BFA,Reactome_2022_Regulation Of TP53 Activity R-HSA-5633007,TAF9;PRKAG1;PPP2CA;STK11;WRN;PIP4P1;UBB;UBC;TOPBP1;MTA2;RPS27A;PRMT5;PRKAB2;RFC4;TAF12;BRPF3;PDPK1;RFC2;TAF13;TAF10;CSNK2A2;TOP3A;SSRP1;HIPK1;PRKAB1;MTOR;GATAD2A;RAD50;CDK5;POLR1B;RPA3;CSNK2B;JMY;CCNG1;RAD17;TAF7;ATM;MDM4;TAF5;TP53;UBA52
493,BFA,Reactome_2022_Cargo Concentration In ER R-HSA-5694530,MCFD2;SEC23A;SEC24A;SAR1B;GOSR2;MIA3;LMAN1;CNIH1;STX5;TMED2;PREB;SEC22B;SEC24D;SEC24C
494,BFA,Reactome_2022_TNF Signaling R-HSA-75893,CHUK;SPPL2B;XIAP;CYLD;ADAM17;SHARPIN;UBB;UBC;OTULIN;RACK1;TAX1BP1;RIPK1;RBCK1;RPS27A;MAP3K7;UBA52;BIRC2
495,BFA,Reactome_2022_Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,CEP57;DYNC1I2;DCTN2;TUBGCP2;CETN2;SSNA1;DCTN3;CCP110;PCM1;CNTRL;CEP70;CEP192;CEP76;CDK5RAP2;DYNC1H1;ODF2;TUBB;MZT1;MZT2B;NME7;CENPJ;AKAP9;ALMS1;TUBGCP6;CEP63
496,BFA,Reactome_2022_Signaling By FGFR2 R-HSA-5654738,NCBP1;NCBP2;SHC1;GTF2F1;GTF2F2;TIAL1;PPP2CA;PTBP1;HNRNPM;UBB;POLR2B;ESRP1;POLR2C;HNRNPF;UBC;POLR2H;SOS1;HNRNPA1;POLR2I;RPS27A;UBA52;POLR2J;POLR2K
497,BFA,Reactome_2022_Signaling By FGFR2 IIIa TM R-HSA-8851708,NCBP1;NCBP2;POLR2B;POLR2C;POLR2H;GTF2F1;POLR2I;GTF2F2;POLR2J;POLR2K
498,BFA,Reactome_2022_Translesion Synthesis By POLH R-HSA-110320,VCP;RFC4;UBB;RFC2;POLR1B;RPA3;UBC;UFD1;RPS27A;UBA52
499,BFA,Reactome_2022_Infection With Mycobacterium Tuberculosis R-HSA-9635486,GSK3A;UBB;HGS;UBC;PGK1;ATP6V1H;TRIM27;RPS27A;RAB5A;UBA52;KPNB1;RAB7A
500,BFA,Reactome_2022_Extension Of Telomeres R-HSA-180786,FEN1;ACD;RFC4;RFC2;TERF2;POLD3;PPP6C;WRN;POLA2;SHQ1;DKC1;RUVBL2;POLR1B;RPA3;NHP2;GAR1;TERF2IP;NOP10
501,BFA,Reactome_2022_Iron Uptake And Transport R-HSA-917937,ATP6V0B;ATP6V1G1;TFRC;GLRX3;SLC11A2;NEDD8;CAND1;UBB;FTH1;UBC;ATP6V0A2;ATP6V1H;ATP6V1E1;ATP6V0D1;RPS27A;UBA52;ATP6V1D;HMOX2;FTL;ATP6V1F
502,BFA,Reactome_2022_Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,VPS4B;SNF8;STAM;UBB;HGS;UBC;CHMP2B;CHMP4C;RPS27A;STAM2;UBA52;VPS25;CHMP5
503,BFA,Reactome_2022_VLDLR Internalisation And Degradation R-HSA-8866427,UBB;NR1H2;CLTC;UBC;CLTA;AP2A1;AP2B1;RPS27A;UBA52
504,BFA,Reactome_2022_Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,EIF4A1;EIF4A3;AAAS;UBB;TPR;UBC;TRIM25;KPNA4;NUP88;ARIH1;RPS27A;KPNA3;JAK1;NUP214;RANBP2;SEC13;GNL3;PDE12;NUP98;EIF4E2;ABCE1;UBA52;KPNB1;NUP58;EIF4G1
505,BFA,Reactome_2022_Deadenylation-dependent mRNA Decay R-HSA-429914,EIF4A1;DIS3;EIF4A3;PARN;LSM1;CNOT10;LSM5;LSM4;LSM3;EDC3;EXOSC5;LSM7;CNOT1;CNOT2;EXOSC8;PABPC1;EIF4B;EXOSC1;EIF4G1
506,BFA,Reactome_2022_MHC Class II Antigen Presentation R-HSA-2132295,DYNC1I2;SEC23A;DCTN2;SAR1B;DCTN4;CLTC;DCTN3;CLTA;AP2A1;KLC4;RACGAP1;AP1G1;KIF5B;CTSF;KIFAP3;AP1M1;SEC31A;DYNC1H1;SEC13;SEC24A;AP2B1;DYNLL2;DYNC1LI2;CAPZA1;CANX;SEC24D;ACTR10;SEC24C;RAB7A
507,BFA,Reactome_2022_ISG15 Antiviral Mechanism R-HSA-1169408,NUP214;RANBP2;EIF4A1;SEC13;EIF4A3;AAAS;GNL3;UBB;TPR;UBC;TRIM25;KPNA4;NUP88;ARIH1;NUP98;EIF4E2;RPS27A;KPNA3;UBA52;KPNB1;NUP58;JAK1;EIF4G1
508,BFA,Reactome_2022_DNA Damage Bypass R-HSA-73893,VCP;WDR48;RFC4;UBE2B;RFC2;POLD3;DDB1;UBB;POLR1B;RPA3;UBC;POLE3;USP1;TRIM25;UFD1;RPS27A;UBA52
509,BFA,Reactome_2022_Recycling Of eIF2:GDP R-HSA-72731,EIF2B4;EIF2B2;EIF2S3;EIF2B1;EIF2S2;EIF2S1
